time,throughput_mbps
1,0
2,0
3,0.72896
4,0.184384
5,1.74589
6,1.1792
7,1.18778
8,1.17491
9,1.18778
10,1.18778
11,1.18778
12,1.17491
13,0.934784
14,1.17062
15,1.18349
16,1.1792
17,1.18778
18,1.18349
19,1.18778
20,1.18778
21,0.677504
22,1.41933
23,1.19206
24,1.1792
25,1.18349
26,1.19206
27,1.17491
28,1.18778
29,1.11059
30,1.01626
31,1.16634
32,1.18349
33,1.19635
34,1.18349
35,1.18349
36,1.17491
37,1.20064
38,0.741824
39,1.35072
40,1.17491
41,1.18778
42,1.1792
43,1.18349
44,1.18349
45,1.18778
46,1.16634
47,0.120064
48,1.44275
49,1.18778
50,1.17491
51,1.1792
52,1.19206
53,1.18349
54,1.19206
55,1.18349
56,0.681792
57,1.41504
58,1.18349
59,1.18778
60,1.1792
61,1.17491
62,1.19206
63,1.1792
64,1.02483
65,1.09344
66,1.17062
67,1.1792
68,1.18778
69,1.18349
70,1.19206
71,1.18349
72,1.1792
73,0.681792
74,1.41933
75,1.18778
76,1.18349
77,1.17491
78,1.18349
79,1.1792
80,1.18778
81,1.18349
82,0.716096
83,1.3936
84,1.1792
85,1.18778
86,1.18778
87,1.18349
88,1.18778
89,1.1792
90,0.947648
91,1.1792
92,1.1792
93,1.18778
94,1.1792
95,1.18349
96,1.18349
97,1.18349
98,1.18349
99,0.698944
100,1.40646
101,1.18349
102,1.19206
103,1.18349
104,1.19206
105,1.18349
106,1.1792
107,0.861888
108,1.18778
109,1.1792
110,1.18349
111,1.18349
112,1.18349
113,1.1792
114,1.1792
115,1.18349
116,0.587456
117,1.05878
118,1.18349
119,1.1792
