time,throughput_mbps
1,0
2,0
3,1.41504
4,2.08397
5,1.97248
6,1.9639
7,1.9639
8,2.0025
9,1.95533
10,2.04966
11,1.95533
12,1.9639
13,2.02394
14,1.96819
15,1.95962
16,2.03251
17,1.9296
18,1.95962
19,1.99392
20,1.95104
21,1.95533
22,2.01107
23,1.98534
24,1.98106
25,1.94246
26,1.96819
27,1.96819
28,2.02822
29,2.0025
30,1.99821
31,1.97677
32,1.95962
33,2.0368
34,1.95962
35,1.96819
36,2.01107
37,1.94675
38,1.99392
39,1.97677
40,1.98534
41,1.95962
42,1.99821
43,1.94675
44,2.02394
45,1.97248
46,1.94246
47,1.95962
48,2.01536
49,1.99821
50,1.94246
51,2.01965
52,1.98106
53,1.95962
54,2.0025
55,1.92531
56,1.93818
57,2.01965
58,1.95104
59,1.97677
60,1.99821
61,1.95962
62,1.98534
63,1.93818
64,2.03251
65,1.94675
66,1.95104
67,1.98106
68,2.0368
69,1.92531
70,2.0025
71,1.95104
72,1.86528
73,2.11398
74,1.95533
75,2.00678
76,1.97677
77,1.99821
78,1.95104
79,1.94675
80,2.01536
81,2.0025
82,2.03251
83,1.95533
84,1.97248
85,1.96819
86,1.90387
87,2.00678
88,2.04109
89,1.99392
90,1.97248
91,1.94675
92,2.02394
93,1.9639
94,1.94246
95,2.0025
96,2.0025
97,1.95962
98,1.94675
99,2.00678
100,1.98963
101,1.97248
102,1.99392
103,1.9639
104,1.87814
105,2.07968
106,1.93818
107,2.03251
108,1.95962
109,1.99392
110,1.93818
111,2.02394
112,1.95533
113,1.98963
114,1.98534
115,1.96819
116,1.93389
117,1.98106
118,1.90387
119,2.04966
