time,throughput_mbps
1,0
2,0
3,10.9387
4,11.1488
5,10.9215
6,11.0459
7,10.9258
8,10.8315
9,10.8315
10,10.8658
11,10.9087
12,10.9044
13,10.9473
14,10.973
15,10.8915
16,10.8872
17,10.9258
18,10.6986
19,10.7586
20,10.913
21,10.8744
22,11.0073
23,10.9473
24,10.8829
25,10.8272
26,10.9901
27,10.8058
28,10.8186
29,10.9944
30,10.9387
31,10.7329
32,10.8058
33,10.8058
34,11.1359
35,10.9172
36,10.8015
37,10.81
38,10.7586
39,10.8015
40,10.8829
41,10.9558
42,10.81
43,10.9258
44,10.8486
45,10.7114
46,10.9859
47,10.8958
48,10.8744
49,10.7843
50,10.8229
51,10.8486
52,11.0888
53,10.9172
54,10.8358
55,10.7757
56,10.9859
57,10.7243
58,10.8658
59,10.8787
60,10.9172
61,10.973
62,11.0759
63,10.9816
64,10.9387
65,10.7457
66,10.8615
67,10.7972
68,10.8872
69,10.9901
70,10.8658
71,10.9558
72,10.9258
73,10.8058
74,10.8401
75,10.9087
76,10.8701
77,10.8529
78,10.8015
79,10.9773
80,10.6814
81,10.8872
82,10.9773
83,10.9558
84,10.973
85,10.8958
86,10.9001
87,10.9172
88,10.8444
89,10.7157
90,10.7757
91,10.9172
92,10.9644
93,10.8401
94,11.003
95,10.9087
96,10.8401
97,10.7843
98,10.8358
99,10.943
100,10.913
101,10.8872
102,10.8701
103,10.8787
104,11.0545
105,11.0244
106,11.0759
107,10.7243
108,10.7329
109,11.0802
110,10.8915
111,10.8315
112,10.7286
113,10.8529
114,10.8872
115,10.8915
116,10.6943
117,11.0159
118,10.7329
119,10.9773
