time,throughput_mbps
1,0
2,0
3,1.81382
4,2.01536
5,2.01536
6,1.99392
7,2.0025
8,2.01965
9,2.02394
10,2.00678
11,2.00678
12,2.0025
13,2.0368
14,2.02394
15,2.02394
16,2.02822
17,2.01965
18,1.99821
19,2.03251
20,2.03251
21,2.01965
22,2.01536
23,2.01107
24,2.00678
25,2.04109
26,2.01965
27,1.99821
28,2.02394
29,2.01965
30,2.01965
31,2.01965
32,2.0025
33,2.02822
34,2.01965
35,2.02394
36,2.02394
37,2.0025
38,2.01536
39,2.01965
40,2.02822
41,2.01536
42,2.01536
43,2.02394
44,2.03251
45,2.01107
46,2.0368
47,2.03251
48,2.0025
49,2.00678
50,2.01536
51,2.01536
52,2.02394
53,2.01536
54,2.00678
55,2.01965
56,2.01107
57,2.02822
58,1.99821
59,2.00678
60,2.01107
61,2.01965
62,1.99821
63,2.02822
64,2.02394
65,2.02822
66,2.01107
67,2.01536
68,2.01965
69,2.01536
70,2.02394
71,2.01536
72,2.01965
73,2.02822
74,2.0368
75,2.01965
76,2.02822
77,2.0025
78,2.02394
79,2.02394
80,2.04109
81,2.01536
82,2.02394
83,1.99392
84,2.02822
85,2.03251
86,2.00678
87,2.03251
88,2.01107
89,2.02822
90,2.03251
91,2.02822
92,2.03251
93,2.02822
94,2.01536
95,2.0368
96,2.0025
97,2.01536
98,2.02822
99,2.01536
100,2.01107
101,2.01536
102,2.02822
103,1.98534
104,2.03251
105,2.00678
106,2.00678
107,1.99821
108,2.01965
109,2.00678
110,1.99392
111,2.02394
112,2.02394
113,2.01107
114,2.02822
115,2.01965
116,2.01536
117,2.01536
118,1.99392
119,2.01536
