time,throughput_mbps
1.0001,0
2.0001,0
3.0001,0
4.0001,0
5.0001,0
6.0001,5.04269
7.0001,5.6473
8.0001,2.31981
9.0001,1.68947
10.0001,1.50509
11.0001,1.6423
12.0001,1.47507
13.0001,1.59942
14.0001,1.62944
15.0001,1.64659
16.0001,1.41075
17.0001,1.54368
18.0001,1.54797
19.0001,1.55654
20.0001,1.55654
21.0001,1.4665
22.0001,1.47507
23.0001,1.47078
24.0001,1.23494
25.0001,1.33357
26.0001,1.26496
27.0001,1.15347
28.0001,1.29069
29.0001,1.09344
30.0001,1.6423
31.0001,1.48365
32.0001,1.36787
33.0001,1.38074
34.0001,1.5351
35.0001,1.45363
36.0001,1.38931
37.0001,1.41504
38.0001,1.37645
39.0001,1.26496
40.0001,1.2864
41.0001,1.29498
42.0001,1.31213
43.0001,1.37645
44.0001,1.33786
45.0001,1.47936
46.0001,1.37645
47.0001,1.52653
48.0001,1.51795
49.0001,1.43219
50.0001,1.49651
51.0001,1.608
52.0001,1.56512
53.0001,1.5351
54.0001,1.59514
55.0001,1.47078
56.0001,1.4665
57.0001,1.38074
58.0001,1.41075
59.0001,1.22637
60.0001,1.4279
61.0001,1.55226
62.0001,1.46221
63.0001,1.54368
64.0001,1.5351
65.0001,1.52224
66.0001,1.76666
67.0001,1.5351
68.0001,1.53939
69.0001,1.43219
70.0001,1.4279
71.0001,1.47507
72.0001,1.43648
73.0001,1.44506
74.0001,1.53082
75.0001,1.4665
76.0001,1.37216
77.0001,1.34643
78.0001,1.41075
79.0001,1.32499
80.0001,1.29069
81.0001,1.30355
82.0001,1.18349
83.0001,1.13632
84.0001,1.20064
85.0001,1.13632
86.0001,1.31642
87.0001,1.60371
88.0001,1.51366
89.0001,1.5737
90.0001,1.42362
91.0001,1.43648
92.0001,1.33786
93.0001,1.61658
94.0001,1.5351
95.0001,1.48365
96.0001,1.39789
97.0001,1.41933
98.0001,1.3593
99.0001,1.43648
100,1.41075
101,1.41504
102,1.36787
103,1.31642
104,1.19206
105,1.15776
106,1.13632
107,1.1063
108,1.12346
109,1.072
110,1.02483
111,1.23066
112,1.60371
113,1.61229
114,1.38931
115,1.50509
116,1.49651
117,1.48794
118,1.38074
119,1.44506
