time,throughput_mbps
1.0001,0
2.0001,0
3.0001,0.776128
4.0001,1.48954
5.0001,1.90387
6.0001,0.917632
7.0001,1.1449
8.0001,1.03341
9.0001,0.956224
10.0001,0.960512
11.0001,1.34643
12.0001,1.15347
13.0001,0.969088
14.0001,1.01626
15.0001,0.990528
16.0001,1.00768
17.0001,0.977664
18.0001,1.02483
19.0001,0.999104
20.0001,1.00768
21.0001,0.990528
22.0001,0.973376
23.0001,0.981952
24.0001,0.999104
25.0001,1.02054
26.0001,0.981952
27.0001,1.02483
28.0001,0.994816
29.0001,0.947648
30.0001,1.00768
31.0001,1.01197
32.0001,0.990528
33.0001,0.977664
34.0001,1.03341
35.0001,0.947648
36.0001,1.04627
37.0001,0.98624
38.0001,0.990528
39.0001,0.969088
40.0001,0.999104
41.0001,0.973376
42.0001,0.977664
43.0001,0.94336
44.0001,0.956224
45.0001,0.939072
46.0001,0.981952
47.0001,1.00768
48.0001,0.994816
49.0001,1.02912
50.0001,0.969088
51.0001,0.934784
52.0001,0.999104
53.0001,0.977664
54.0001,1.00339
55.0001,0.994816
56.0001,0.969088
57.0001,0.990528
58.0001,1.00768
59.0001,1.01626
60.0001,1.00339
61.0001,1.00339
62.0001,1.00768
63.0001,1.01197
64.0001,0.977664
65.0001,0.939072
66.0001,1.02054
67.0001,0.98624
68.0001,0.973376
69.0001,0.973376
70.0001,1.02912
71.0001,0.994816
72.0001,0.956224
73.0001,1.05914
74.0001,0.994816
75.0001,0.969088
76.0001,0.990528
77.0001,0.977664
78.0001,0.934784
79.0001,1.00339
80.0001,1.02483
81.0001,0.98624
82.0001,0.9648
83.0001,1.01626
84.0001,0.960512
85.0001,0.951936
86.0001,0.960512
87.0001,0.994816
88.0001,0.98624
89.0001,1.00339
90.0001,1.02912
91.0001,0.98624
92.0001,0.956224
93.0001,1.03341
94.0001,0.896192
95.0001,1.05056
96.0001,0.969088
97.0001,0.999104
98.0001,0.990528
99.0001,1.02912
100,0.98624
101,0.9648
102,1.00768
103,0.994816
104,0.977664
105,0.981952
106,0.969088
107,1.01626
108,0.994816
109,1.02912
110,0.990528
111,0.956224
112,0.98624
113,0.909056
114,1.06342
115,0.939072
116,1.02912
117,0.98624
118,0.999104
119,0.947648
