5,13.6787
5.1,12.3923
5.2,12.521
5.3,13.3357
5.4,13.5501
5.5,12.4352
5.6,12.9498
5.7,12.9498
5.8,13.207
5.9,12.7782
6,13.207
6.1,12.8211
6.2,12.9926
6.3,12.9498
6.4,12.6925
6.5,13.4643
6.6,13.207
6.7,13.1213
6.8,12.4781
6.9,12.7354
7,13.2928
7.1,12.9926
7.2,12.9926
7.3,13.2499
7.4,13.207
7.5,12.4781
7.6,12.9498
7.7,13.5501
7.8,13.2499
7.9,13.0784
8,13.593
8.1,13.207
8.2,12.6925
8.3,12.9926
8.4,12.6496
8.5,12.5638
8.6,12.9069
8.7,12.8211
8.8,13.0355
8.9,12.6925
9,13.0784
9.1,12.8211
9.2,13.5501
9.3,13.0355
9.4,12.7354
9.5,12.6925
9.6,12.6496
9.7,14.1504
9.8,13.0355
9.9,12.6925
10,12.9069
10.1,13.0355
10.2,13.0784
10.3,13.4643
10.4,13.0784
10.5,13.2499
10.6,13.4643
10.7,12.6496
10.8,12.6496
10.9,12.6067
11,13.6787
11.1,12.9498
11.2,13.0784
11.3,13.7216
11.4,13.207
11.5,12.6925
11.6,13.1213
11.7,14.1504
11.8,12.8211
11.9,13.0784
12,12.864
12.1,13.207
12.2,12.521
12.3,14.1504
12.4,13.0784
12.5,13.1642
12.6,13.2499
12.7,12.9926
12.8,13.1642
12.9,12.6925
13,12.4352
13.1,12.9498
13.2,13.3786
13.3,13.0784
13.4,12.4352
13.5,12.4781
13.6,13.6787
13.7,12.521
13.8,13.6358
13.9,13.1213
14,12.4781
14.1,13.207
14.2,12.6925
14.3,13.6358
14.4,13.4214
14.5,12.3066
14.6,13.0355
14.7,12.864
14.8,12.9926
14.9,12.6925
15,13.1213
15.1,13.4214
15.2,13.5501
15.3,13.3357
15.4,13.7216
15.5,13.3786
15.6,13.207
15.7,13.5501
15.8,13.0784
15.9,12.6067
16,13.2499
16.1,12.9498
16.2,13.593
16.3,12.864
16.4,13.0355
16.5,12.7782
16.6,13.6787
16.7,12.9926
16.8,13.8502
16.9,13.207
17,12.8211
17.1,12.6925
17.2,13.0355
17.3,13.1213
17.4,12.5638
17.5,13.207
17.6,12.6067
17.7,12.9926
17.8,13.4214
17.9,13.0784
18,12.7354
18.1,13.4214
18.2,12.9498
18.3,13.4643
18.4,12.6496
18.5,12.9069
18.6,12.9498
18.7,13.2499
18.8,12.4352
18.9,13.8502
19,13.2499
19.1,12.9069
19.2,13.5072
19.3,13.207
19.4,13.6358
19.5,12.7354
19.6,13.0784
19.7,12.6925
19.8,12.9926
19.9,13.0355
20,13.207
20.1,13.4643
20.2,13.0784
20.3,12.8211
20.4,13.0355
20.5,12.7782
20.6,13.4214
20.7,13.5501
20.8,13.1213
20.9,13.6787
21,13.593
21.1,13.1213
21.2,12.6925
21.3,13.2499
21.4,13.3357
21.5,12.9498
21.6,13.4214
21.7,13.207
21.8,13.2928
21.9,13.1642
22,13.1213
22.1,13.2499
22.2,12.9926
22.3,13.593
22.4,12.521
22.5,13.0355
22.6,13.4643
22.7,13.207
22.8,12.9069
22.9,12.9926
23,13.2499
